palier,mot,phrase,indice
3,transformer,La chenille va se transformer en papillon.,
2,travail,Mon travail est presque terminé.,
2,travaux,Les travaux dans la rue font du bruit.,
1,tresse,Ma cousine porte une longue tresse.,
1,union,L'union de l'équipe fait sa force.,
2,unique,Chaque flocon de neige est unique.,
2,univers,Les étoiles remplissent l'univers.,
1,utile,Cette lampe est très utile pour lire.,
2,vampire,Le vampire sort dans le conte d'Halloween.,
2,veille,La veille de la fête je prépare mon sac.,
1,vendre,Nous allons vendre des cartes pour la classe.,
2,vérité,Il faut dire la vérité.,
1,vert,un arbre vert dans la forêt,
1,vide,La boîte est vide après le goûter.,
1,ville,Montréal est une grande ville,
1,vin,Le vin est servi aux adultes.,
1,vingt,vingt enfants dans la classe,
3,vingtième,le vingtième siècle,
2,visiter,Nous allons visiter le musée.,
1,vivant,Le poisson est encore vivant.,
2,vivante,La plante est vivante grâce à l'eau.,
2,voiture,papa conduit la voiture,
2,voyage,nous partons en voyage en Gaspésie,
2,vraiment,c'est vraiment une bonne idée,
